Gameid,totSubmit,avr_T,avr_U,ans,U/ans,median_U,min_U,gameid,var_degree,avr_degree,N/avr_degree,U/n,circlecount,n,,log(CC/n!),averagelen,logVar,3len/3!,4len/4!,...,,,,,,,,,,,..,,,,,,,,,,
52,121,34.3884,0.867769,7,0.123967,0,0,52,1.78698,3.53846,31.6022173560612,0.0667514615384615,853228414,13,8.93106530978481,-1.98763,10.262,10.6358,2239.67,3229.58,3559.88,2998.17,1916.62,914.547,315.573,74.4083,9.69091,0.0681818,0,,,,3.35018403273733,3.50914604693095,3.5514353585863,3.47685625425234,3.28253601571472,2.9612060294583,2.4990998384771,1.8716213823624,0.986364560272897,
53,123,42.6016,2.47154,7,0.353078,0,0,53,1.44379,3.69231,33.1864203096834,0.190118461538462,972709632,13,8.98798321638308,-1.85657,10.3401,9.10429,2313,3353.33,3718.28,3152.17,2029.76,976.422,340.017,81.0083,10.7818,0.151515,0,,,,3.36417563277062,3.52547629429577,3.57034209062046,3.49860963142888,3.30744468971737,2.98963755604929,2.5315006312235,1.90852951837902,1.03269127150097,
54,120,36.6,1.26667,7,0.180952,0,0,54,1.53846,4,36.1531941353787,0.0974361538461538,1092190850,13,9.03829853384469,-1.74071,10.4011,8.69976,2386.33,3477.08,3876.68,3306.17,2142.91,1038.3,364.462,87.6083,11.8727,0.234848,0,,,,3.37773050105648,3.54121468296363,3.58845995371037,3.51932518080341,3.33100393150652,3.01632285401379,2.56165225405147,1.94254525312519,1.07454949416602,
55,118,67.7797,6.21186,7,0.887409,4,0,55,2.7438,5.27273,45.9266509687126,0.564714545454546,513124088,11,8.71022240257183,2.55372,19.7195,3.10436,2441.33,3559.58,3969.08,3383.17,2190.05,1058.92,370.573,88.7083,11.9636,,,,,,3.38762648793515,3.55139875796079,3.59868985255,3.52932382108297,3.34045403012606,3.02486315097535,2.56887377337959,1.94796425653477,1.07786188407369,
56,116,79.1293,8.41379,7,1.20197,5,0,56,2.55556,4.66667,40.9398862663394,0.701149166666667,592688506,12,8.7728265050538,0.212965,12.6837,10.4606,2514.67,3683.33,4127.48,3537.17,2303.19,1120.8,395.017,95.3083,1.09091,0.318182,,,,,3.4004810006912,3.56624063027461,3.61568497753491,3.54865593295236,3.36232976625252,3.04952812227772,2.59661578637917,1.97913072316969,0.0377889228013173,
57,112,77.2857,7.59821,7,1.08546,5,0,57,2.13889,4.83333,42.6663786243424,0.633184166666667,672252924,12,8.82753269988649,0.338931,13.1194,9.37146,2588,3807.08,4285.88,3691.17,2416.34,1182.67,419.462,101.908,2.18182,0.401515,,,,,3.41296427199666,3.58059200294873,3.63204000710072,3.5671640474611,3.38315804324993,3.07286358049265,2.62269262323904,2.0082082784076,0.338818918465298,
58,115,69.1043,5.76522,8,0.720652,0,0,58,1.83333,6,53.2566740355935,0.480435,751817342,12,8.87611233926558,0.450789,13.4629,8.96217,2661.33,3930.83,4444.28,3845.17,2529.48,1244.55,443.906,108.508,3.27273,0.484848,,,,,3.4250987296033,3.59448426191767,3.64780141269552,3.58491554528955,3.40303124989443,3.09501234914702,2.64729101515215,2.03546175871703,0.51491017752098,
59,112,154.393,21.1518,8,2.64397,10,0,59,1.63889,6.16667,55.0054661007616,1.76265,831381760,12,8.91980049212323,0.551385,13.7406,8.63091,2734.67,4054.58,4602.68,3999.17,2642.62,1306.42,468.351,115.108,4.36364,0.568182,,,,,3.43690492634553,3.60794587380504,3.6630107817449,3.60196986587213,3.42203471751382,3.11608282039912,2.67057145185127,2.06110550812257,0.63984891412928,
60,100,126.33,15.13,8,1.89125,7,0,60,2.08333,6.5,58.2367026672589,1.26083333333333,910946178,12,8.95949271803983,0.64278,13.9698,8.30931,2808,4178.33,4761.08,4153.17,2755.76,1368.3,492.795,121.708,5.45455,0.651515,,,,,3.44839710345777,3.62100273710895,3.67770547894703,3.61837970827118,3.44024139204028,3.1361813269606,2.69266629273708,2.08531912581976,0.736758927137336,
61,100,121.66,14.69,8,1.83625,7,0,61,3.01775,5.53846,49.9182363313033,1.13,1030427396,13,9.01301739676793,-1.79892,9.97924,11.3774,2881.33,4302.08,4919.48,4307.17,2868.91,1430.17,517.239,128.308,6.54545,0.0833333,0,,,,3.4595930010682,3.63367848211735,3.69191919929872,3.63419201330077,3.45771692429464,3.15538766381036,2.71369126339751,2.10825373546721,0.815939509679548,
62,99,90.899,9.13131,9,1.01459,1,0,62,2.17751,6.76923,61.3337140150537,0.702408461538461,1149908614,13,9.06066332729922,-1.68922,10.0747,10.1149,2954.67,4425.83,5077.88,4461.17,2982.05,1492.05,541.684,134.908,7.63636,0.166667,0,,,,3.47050898261758,3.64599472828084,3.70568243345113,3.64944877304103,3.47451492098889,3.17378337699741,2.7337460077963,2.13003770395537,0.882886394096711,
63,101,97.3861,9.13861,9,1.0154,2,0,63,3.31361,7.38462,67.2265898213599,0.70297,1269389832,13,9.10359501522894,-1.59036,10.1521,9.41628,3028,4549.58,5236.28,4615.17,3095.19,1553.92,566.128,141.508,8.72727,0.25,0,,,,3.48115587082803,3.65797130608534,3.71902286156161,3.66418770291386,3.4906873135884,3.19142865638711,2.75291463509087,2.15078099291786,0.940878412164297,
64,95,157.253,22.3895,9,2.48772,16,0,64,1.91837,6.28571,57.995397661145,1.59925,1684794080,14,9.22654682782773,-3.94631,10.5296,15.9356,3106.33,4685.83,5417.18,4799.17,3238.34,1638.3,603.073,153.108,11.1818,0.560606,0.0174825,0,,,3.49224759098241,3.67078652852019,3.73377326639909,3.68116613412794,3.51032244428518,3.21439343125521,2.78036988523849,2.18499788348131,1.04851172011071,
65,89,183.225,27.236,10,2.7236,10,0,65,2.2449,7.42857,70.2801898507351,1.94542857142857,2889326408,14,9.46079660698292,-3.40693,11.097,12.7174,3198,4855.42,5658.08,5063.17,3461.48,1782.67,673.351,178.042,17.2727,1.47727,0.0815851,0,,,3.50487845941022,3.68622680289348,3.75266908368529,3.70442250941774,3.53926182665532,3.25107095593849,2.82824150943269,2.25052246420004,1.23736023006593,
66,86,124.605,17.0465,10,1.70465,9,0,66,4.16,7.2,71.127846849787,1.13643333333333,7566022318,15,9.87886761802598,-5.15234,12.068,16.7643,3298.33,5047.92,5942.98,5390.42,3753.76,1984.8,780.295,220.392,29.3636,3.81061,0.350816,0.0137363,0,,3.51829410491957,3.70311246354316,3.77400426872292,3.73162260499678,3.57446650216715,3.29771675126415,2.89225882403797,2.3431958260286,1.46780929934656,
67,88,103.216,10.5568,10,1.05568,7,0,67,2.99556,7.73333,79.0756776198407,0.703786666666667,16799932932,15,10.2253075479568,-4.35463,12.4878,13.8979,3405.67,5259.67,6266.38,5775.42,4112.05,2244.67,925.739,281.992,48.4545,7.89394,0.889277,0.0467033,0,,3.5322025637316,3.72095849668703,3.79701672742714,3.76158357246892,3.61405838677323,3.35115250225988,2.9664885602919,2.45023678773377,1.68533411646245,
