0/1.;1. 8174
0/2.1/1.1/1.1/1.1/1.;1.2.3. 59
1/2.1/3.;1.2.2. 59
0/1.0/2.0/2.0/3.;2.3.3. 58
0/1.2/2.2/3.2/3.2/4.;1.2.3.3.4. 58
1/1.1/1.2/0.2/1.;1.1.1. 58
1/1.1/2.1/2.2/1.2/3.3/1.;1.1.2.3.3. 58
1/1.2/1.2/1.2/2.2/2.2/3.3/0.;2.4.4. 58
2/1.2/1.3/0.3/2.4/0.4/0.4/1.4/1.;3.3. 58
0/1.0/1.0/3.1/3.1/4.2/4.;1.1.2.3.3.3.3. 57
0/1.2/1.2/1.2/2.;2.3. 57
0/2.1/0.1/1.1/1.1/1.;1.2.2. 57
1/0.1/0.2/0.2/0.; 57
1/2.1/2.1/2.2/1.2/3.3/1.;1.1.1.2.2.4. 57
1/2.2/0.2/1.3/2.;1.2.2. 57
1/0.1/3.;1.1.1. 56
1/1.1/2.2/1.2/1.2/1.2/3.2/3.2/3.;1.2.2.2.3.5. 56
1/2.1/3.1/4.3/4.;3.3.3.4. 56
0/1.1/1.1/1.;1.1.1. 55
1/0.2/2.3/0.3/0.3/1.;1.2. 55
1/2.1/3.1/4.3/4.;1.1.1.2.2.2.4. 55
3/1.3/1.3/1.4/0.4/0.4/1.4/2.5/1.6/2.;4.5. 55
0/2.1/0.1/2.;1.1.2. 54
1/0.2/0.2/0.3/0.; 54
1/1.1/4.2/3.;1.1.1.2.3. 54
1/2.1/3.2/3.2/3.;2.2.2.2.3. 54
3/1.4/2.4/2.4/3.5/0.5/1.6/0.6/1.6/2.6/3.9/1.;5.5.6. 54
2/2.2/2.3/1.3/1.3/2.4/2.5/2.6/1.;3.4.6. 53
1/2.2/1.2/2.2/2.3/2.3/2.3/3.4/3.;2.5.5.5. 52
0/2.1/0.1/4.;1.1.1.1.2. 51
1/0.1/2.1/2.1/2.2/0.2/1.;1.2.4. 51
0/1.1/1.1/1.2/1.;1.3. 50
0/1.1/2.1/3.2/2.;1.2.2.3. 50
0/2.0/3.1/1.1/3.2/1.;2.2.3.3. 50
0/2.1/2.1/3.;1.1.2.3. 50
1/0.1/1.1/2.2/1.2/1.3/4.;1.1.2.2.3. 50
1/1.1/2.1/2.1/2.2/1.2/2.2/2.2/3.;1.2.3.3.6. 50
1/1.1/2.2/1.3/1.3/2.3/2.5/3.;3.4.5. 50
1/2.2/0.2/4.3/3.;2.2.2.3. 50
0/1.0/1.0/3.;1.1.1.2. 49
0/1.1/1.1/1.2/1.;1.1.2. 49
0/1.1/1.1/2.2/1.;1.1.3. 49
0/1.1/2.1/2.2/2.;1.2.4. 49
0/2.1/0.1/1.;1.1.1. 49
1/1.1/2.1/2.2/0.2/2.3/1.;1.3.4. 49
2/1.2/1.3/0.3/1.3/1.3/2.4/0.4/1.;3.4. 49
2/1.2/2.3/0.3/2.4/0.4/1.4/2.;2.3.3. 49
2/2.2/3.2/4.;1.2.3.3. 49
2/2.3/2.3/3.4/2.5/0.5/1.5/3.5/4.6/1.6/2.;2.4.6.8. 49
0/1.0/3.1/1.1/1.;1.1.2.2. 48
0/1.1/1.1/1.2/1.2/2.;1.1.4. 48
0/2.0/6.;1.1.1.1.1.1.2. 48
0/2.1/2.1/3.1/3.1/3.2/2.2/4.;1.1.3.3.3.4.4. 48
0/3.1/0.1/4.2/1.2/3.;1.3.3.4. 48
1/0.1/0.2/0.2/0.4/0.; 48
1/0.2/0.3/0.3/0.3/0.4/0.; 48
1/1.1/1.2/2.;1.1.2. 48
3/1.3/1.4/1.4/1.5/0.5/1.5/1.5/1.6/2.;3.6. 48
3/2.4/0.4/1.4/1.4/2.4/2.5/0.5/1.5/2.6/2.;3.4.6. 48
0/1.1/2.1/3.;1.1.2.2. 47
1/0.2/0.2/1.2/2.3/1.;1.3. 47
1/2.2/2.2/2.2/3.3/1.4/1.4/2.;1.1.1.2.3.5. 47
2/1.4/0.4/1.4/2.5/0.5/1.5/1.5/1.6/2.;4.5. 47
4/2.5/0.5/1.5/1.5/1.5/2.5/2.6/0.6/2.7/2.9/1.;4.4.6. 47
0/2.1/0.1/2.;1.1.1.1. 46
0/2.1/1.1/1.2/1.2/2.2/2.;2.3.4. 46
1/0.2/2.2/2.2/3.3/2.4/3.;1.3.4.4. 46
1/1.1/2.1/2.1/3.2/1.2/2.3/2.3/2.;1.2.3.3.6. 46
1/1.1/2.2/0.2/0.2/2.;1.1.3. 46
1/1.1/2.2/2.2/2.;2.2.3. 46
1/1.2/1.3/2.3/3.4/1.4/2.4/3.4/4.5/4.6/2.;4.6.6.7. 46
0/1.0/1.0/4.;1.1.2.2. 45
0/1.1/0.1/2.;1.1.1. 45
0/1.1/2.1/2.;1.1.1.2. 45
0/1.2/0.2/2.3/1.3/3.4/3.;3.3.4. 45
1/0.1/1.1/1.1/2.2/1.2/1.3/1.3/2.;1.2.3.3. 45
1/1.2/1.2/1.2/3.3/2.;1.1.2.4. 45
2/0.2/0.3/0.3/0.; 45
0/2.0/2.0/4.;2.2.2.2. 44
1/0.1/1.1/1.1/2.2/1.2/1.2/1.2/2.;1.2.3.3. 44
1/1.1/3.2/0.;1.1.2. 44
1/2.1/2.2/2.2/3.2/3.3/2.3/2.;1.2.3.4.6. 44
2/3.2/4.2/4.;2.2.2.2.3. 44
0/1.0/2.0/2.0/4.0/5.;1.1.1.2.2.3.4. 43
0/2.1/1.1/1.1/2.1/3.2/2.4/2.;2.2.2.3.4. 43
1/0.1/2.2/2.;1.1.2. 43
1/1.1/2.2/2.;1.2.2. 43
1/2.1/3.2/2.3/1.3/2.3/4.4/1.4/2.5/3.;2.4.6.8. 43
3/1.3/2.3/2.3/3.4/0.4/1.5/0.5/1.5/2.5/3.;5.5.5. 43
0/1.0/1.0/2.0/3.;1.1.1.1.1.2. 42
0/1.0/2.1/1.1/1.2/0.;1.2.2. 42
0/1.1/0.1/3.;1.1.2. 42
0/1.1/3.1/3.1/5.3/4.;3.3.3.3.4. 42
0/1.1/3.1/4.2/1.;1.1.1.2.2.2. 42
0/2.1/0.1/1.2/3.;1.1.1.3. 42
1/0.1/2.2/3.;1.2.2. 42
1/1.1/2.2/2.;1.1.3. 42
1/1.1/3.2/0.2/0.2/1.4/1.;1.1.2.2. 42
1/1.1/3.2/1.;1.1.1.2. 42
1/2.1/3.2/2.;1.2.2.2. 42
2/1.2/2.2/2.3/0.3/2.3/2.3/3.;2.2.4.4. 42
2/1.3/0.3/1.3/2.4/0.4/1.4/1.5/1.;3.4. 42
0/1.0/1.0/1.1/3.1/3.;1.1.2.2.3. 41
0/1.1/0.1/2.2/1.2/2.;2.4. 41
0/2.1/1.1/1.1/2.1/3.2/2.4/2.;1.1.3.4.4. 41
0/2.1/2.1/3.;1.1.1.2.2. 41
1/0.1/2.1/3.2/2.2/3.3/0.;1.1.2.2.4. 41
1/0.1/2.1/3.3/4.;1.2.3.3. 41
1/1.1/1.2/0.2/1.2/2.2/2.;1.1.2.3. 41
3/1.3/1.4/0.4/0.4/1.4/2.5/0.5/1.6/2.;4.4. 41
0/1.2/0.2/2.2/2.;2.3. 40
0/2.1/1.1/1.2/0.2/1.4/1.;1.1.1.3. 40
1/3.3/1.3/1.3/2.3/2.4/0.5/1.;2.3.5. 40
2/1.2/3.2/3.2/3.;1.2.3.4. 40
0/1.0/1.0/2.1/0.1/1.;1.1.1.2. 39
0/1.1/0.1/1.1/2.3/0.;2.2. 39
0/1.1/2.1/3.;1.1.1.3. 39
0/1.1/3.1/3.;1.1.1.2.2. 39
1/0.1/1.1/2.1/3.4/0.;2.2.2. 39
1/0.1/2.2/3.;1.1.1.2. 39
1/0.2/0.2/0.3/0.4/0.; 39
1/1.1/1.1/1.2/1.3/1.;2.3. 39
1/1.1/1.2/1.2/2.2/2.3/1.3/1.;1.1.2.5. 39
1/1.1/2.2/2.2/3.2/3.3/2.3/2.;1.1.2.5.6. 39
1/2.2/2.2/3.3/2.4/1.4/2.4/2.;3.3.4.4. 39
1/3.2/1.2/3.3/2.;1.2.3.3. 39
2/2.2/3.2/3.3/2.4/1.4/2.4/3.5/1.;3.4.4.6. 39
0/1.0/1.0/2.0/3.0/3.;1.2.2.2.3. 38
0/1.0/1.1/0.1/1.;1.2. 38
0/1.0/3.1/1.1/2.;1.1.1.2.2. 38
1/0.1/1.3/0.3/1.3/2.3/2.;2.2.2. 38
1/1.1/1.2/0.2/1.2/1.;4. 38
1/1.1/2.2/2.2/2.3/0.3/1.;2.2.4. 38
2/0.2/1.3/0.3/2.4/1.4/2.4/2.;2.3.3. 38
3/1.3/2.4/1.4/1.4/1.5/2.5/2.6/0.;3.3.4. 38
0/1.0/2.1/3.1/4.2/2.;1.2.2.3.4. 37
0/2.0/2.0/2.;3.3. 37
0/2.1/1.1/2.2/1.;1.2.3. 37
0/4.1/0.1/2.;1.1.1.1.2. 37
1/1.1/2.1/2.1/4.4/1.;2.2.2.4. 37
1/1.1/3.2/0.2/1.2/3.;1.1.3.3. 37
1/1.2/0.2/2.2/2.3/0.4/1.;2.2.2. 37
1/2.1/3.2/1.2/1.2/2.;1.2.3.3. 37
1/2.1/3.2/1.;1.1.2.2. 37
1/3.1/3.2/5.;1.1.1.2.3.3. 37
2/0.2/0.2/1.2/1.4/0.;2. 37
0/1.0/2.1/1.1/1.2/0.2/3.;1.2.2.3. 36
0/1.0/3.0/3.;2.2.3. 36
0/1.0/4.;1.1.1.1.1. 36
0/2.0/2.1/0.1/2.;1.2.3. 36
1/0.2/1.2/2.2/2.3/2.;1.2.2.2. 36
1/1.1/2.2/1.2/3.3/1.3/3.4/2.4/2.;2.3.4.6. 36
1/1.1/3.2/1.;1.2.2. 36
2/1.2/1.2/2.3/0.3/1.4/2.4/2.;2.2.2.3. 36
0/1.1/0.1/0.2/1.;1.1. 35
0/2.0/2.0/2.;1.2.3. 35
0/2.1/1.1/3.;1.1.1.1.2. 35
0/2.1/2.2/1.2/2.2/2.3/1.;1.1.2.3.3. 35
0/3.1/0.1/1.1/1.1/2.;2.2.3. 35
1/0.1/0.1/0.3/1.;1. 35
1/0.1/1.1/2.1/3.2/0.2/2.;1.2.2.3. 35
1/1.1/1.2/2.;1.3. 35
1/1.1/1.2/3.3/1.3/2.;2.3.3. 35
1/1.1/2.2/0.2/2.2/2.;1.3.3. 35
1/3.1/5.;1.1.2.2.2. 35
2/1.3/1.3/1.4/0.4/1.4/1.4/1.4/1.;2.5. 35
3/2.3/2.3/3.4/1.4/2.5/0.5/1.5/2.;4.4.5. 35
0/1.0/1.0/2.0/3.1/2.1/2.;1.1.2.3.4. 34
0/1.0/1.0/2.0/3.1/2.1/2.;1.2.4.4. 34
0/1.0/2.0/3.0/4.;1.1.1.2.2.3. 34
0/1.1/1.1/1.2/0.2/1.2/1.;2.3. 34
0/1.2/0.2/2.3/0.3/0.;1.2. 34
0/2.0/2.1/1.1/3.;1.2.2.3. 34
0/2.1/0.1/4.;1.1.2.2. 34
1/0.1/1.2/0.2/1.2/2.;1.1.2. 34
1/0.1/2.1/2.1/4.;1.2.2.3. 34
1/1.2/1.3/0.4/0.4/0.4/1.4/2.5/2.5/2.;3.3.3. 34
0/1.0/1.1/1.1/1.2/2.;1.1.2.2. 33
0/1.0/1.1/1.1/1.;1.3. 33
0/1.0/4.1/1.1/2.;1.1.1.1.4. 33
0/1.1/1.1/3.2/1.;1.1.2.2. 33
0/3.1/1.1/2.1/2.1/2.;2.2.3.3. 33
1/0.1/1.2/1.2/2.3/0.3/0.;2.2. 33
1/0.1/2.1/2.1/2.;1.1.2.2. 33
0/1.0/2.0/4.;1.1.1.1.1.2. 32
0/1.1/1.1/2.2/0.;1.3. 32
0/2.0/2.0/3.1/2.1/2.1/4.1/4.;2.2.3.3.3.3.3. 32
0/2.1/0.1/1.1/2.3/0.;1.2.2. 32
0/3.1/0.1/3.;1.1.1.1.2. 32
1/0.1/1.1/2.3/1.;1.1.1.1. 32
1/1.1/2.1/3.3/0.;2.2.2. 32
0/1.0/1.0/2.0/2.;3.3. 31
0/1.0/2.0/3.0/5.;2.2.2.2.3. 31
0/1.0/2.1/1.1/3.;1.2.2.2. 31
0/2.0/5.;1.1.1.1.1.2. 31
0/2.1/0.1/3.;1.1.1.2. 31
0/2.1/1.1/2.2/1.2/2.2/2.;2.3.5. 31
0/2.1/2.1/3.1/4.3/0.;2.3.3.3. 31
1/0.1/2.2/2.;1.1.1.1. 31
