gid=,222, btcnt=,0, method=,gid=,222, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,223, btcnt=,18, method=,gid=,223, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,224, btcnt=,0, method=,gid=,224, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,225, btcnt=,0, method=,gid=,225, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,226, btcnt=,0, method=,gid=,226, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,227, btcnt=,34328, method=,gid=,227, btcnt=,31890, method=,D,0,0,1,,,,,,,,,
gid=,228, btcnt=,17533, method=,gid=,228, btcnt=,17300, method=,D,0,0,1,,,,,,,,,
gid=,229, btcnt=,0, method=,gid=,229, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,230, btcnt=,0, method=,gid=,230, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,231, btcnt=,0, method=,gid=,231, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,232, btcnt=,0, method=,gid=,232, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,233, btcnt=,18, method=,gid=,233, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,234, btcnt=,0, method=,gid=,234, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,235, btcnt=,0, method=,gid=,235, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,236, btcnt=,0, method=,gid=,236, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,237, btcnt=,34328, method=,gid=,237, btcnt=,31890, method=,D,0,0,1,,,,,,,,,
gid=,238, btcnt=,17533, method=,gid=,238, btcnt=,17300, method=,D,0,0,1,,,,,,,,,
gid=,239, btcnt=,0, method=,gid=,239, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,240, btcnt=,0, method=,gid=,240, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,241, btcnt=,0, method=,gid=,241, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,242, btcnt=,0, method=,gid=,242, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,243, btcnt=,18, method=,gid=,243, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,244, btcnt=,0, method=,gid=,244, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,245, btcnt=,0, method=,gid=,245, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,246, btcnt=,0, method=,gid=,246, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,247, btcnt=,34328, method=,gid=,247, btcnt=,31890, method=,D,0,0,1,,,,,,,,,
gid=,248, btcnt=,17533, method=,gid=,248, btcnt=,17300, method=,D,0,0,1,,,,,,,,,
gid=,249, btcnt=,0, method=,gid=,249, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,250, btcnt=,0, method=,gid=,250, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,251, btcnt=,918, method=,gid=,251, btcnt=,2266, method=,D,0,1,1,,,,,,,,,
gid=,252, btcnt=,0, method=,gid=,252, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,253, btcnt=,97, method=,gid=,253, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,254, btcnt=,0, method=,gid=,254, btcnt=,126, method=,D,0,1,1,,,,,,,,,
gid=,255, btcnt=,0, method=,gid=,255, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,256, btcnt=,0, method=,gid=,256, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,257, btcnt=,0, method=,gid=,257, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,258, btcnt=,0, method=,gid=,258, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,259, btcnt=,0, method=,gid=,259, btcnt=,2526, method=,D,0,1,1,,,,,,,,,
gid=,260, btcnt=,0, method=,gid=,260, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,261, btcnt=,918, method=,gid=,261, btcnt=,2266, method=,D,0,1,1,,,,,,,,,
gid=,262, btcnt=,0, method=,gid=,262, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,263, btcnt=,97, method=,gid=,263, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,264, btcnt=,0, method=,gid=,264, btcnt=,126, method=,D,0,1,1,,,,,,,,,
gid=,265, btcnt=,0, method=,gid=,265, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,266, btcnt=,0, method=,gid=,266, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,267, btcnt=,0, method=,gid=,267, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,268, btcnt=,0, method=,gid=,268, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,269, btcnt=,0, method=,gid=,269, btcnt=,2526, method=,D,0,1,1,,,,,,,,,
